communication_mode,communication_with_audience,content_country,decision_method,end_date,facetoface_online_or_both,facilitated,id,issue,kind_of_influence,location,number_of_meeting_days,ongoing,original_language,participant_selection,post_date,published,specific_topic,staff_type,start_date,targeted_audience,targeted_participant_demographic,targeted_participants_public_role,total_number_of_participants,type_of_funding_entity,typical_implementing_entity,typical_sponsoring_entity,updated_date,voting,who_else_supported_the_initiative,who_was_primarily_responsible_for_organizing_the_initiative
Dialogue,Public Hearings/Meetings,United States,Opinion Survey,2008-03-16T17:00:00,facetoface,Yes,2697,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),445,2,No,de,Random Selection,2014-04-23T21:03:17,Yes,Housing Demand/Supply,Mediator,2008-03-15T09:00:00,Elected Public Official,General Public,Lay Public,238,Non-Governmental Organization (Non-profit),Academic Institution,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),2016-05-25T16:14:00,none,,318
Dialogue,Public Hearings/Meetings,Australia,,2013-04-15T17:00:00,facetoface,Yes,2635,Science &amp; Technology,Consultation (i.e. to advise decision makers),446,4,No,en,Random Selection,2014-04-18T15:13:53,Yes,Biobanks,Academic and Administrative,2013-04-06T09:00:00,Elected Public Official,General Public,Lay Public,25,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),,Academic Institution,2016-08-22T16:25:14,none,Menzies Research Institute Tasmania,
Listen/watch as spectator,Public Hearings/Meetings,Netherlands,Voting,,facetoface,No,2842,Community Development,Consultation (i.e. to advise decision makers),447,,Yes,en,Open to all,2014-05-02T18:44:12,Yes,Municipal Participatory Budgeting,,2011-10-31T00:00:00,Elected Public Official,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Community Based Organization,2016-07-29T18:06:13,preferential,,
Dialogue,Policy Recommendations,Netherlands,,,facetoface,,2841,Economic Development,Community building (e.g. social capital),448,,Yes,en,Election,2014-05-02T18:30:38,Yes,Welfare Policy,,2013-09-24T00:00:00,General Public,General Public,Lay Public,15,"Local Government (e.g. Village, Town, City)",,,2016-05-25T16:10:50,none,,
No interaction among participants,"New Media (i.e. internet, texting, etc)",United Kingdom,Voting,,both,No,3458,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Co-governance (i.e. to share decision making with public authorities),449,,Yes,en,Open to all,2014-06-01T20:26:23,Yes,,,,General Public,General Public,Lay Public,561,Individual,Individual,,2014-07-01T19:37:13,majority,,
Discussion,"New Media (i.e. internet, texting, etc)",Brazil,Voting,2014-01-01T00:43:00,facetoface,Yes,4256,Community Development,Collaborative delivery of services with public authorities,450,,No,pt,Open to all,2015-06-28T21:40:53,Yes,Participatory Budgeting,,2009-01-01T00:42:00,General Public,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Faith-Based Organization,2015-08-18T17:09:50,preferential,,
Informal Social Activities,"New Media (i.e. internet, texting, etc)",Colombia,Opinion Survey,,facetoface,,4242,Budgeting,Co-governance (i.e. to share decision making with public authorities),451,,Yes,en,Open to all,2015-06-10T22:03:52,Yes,Municipal Budgeting and Urban Planning,,,General Public,General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",,National Government,Community Based Organization,"Local Government (e.g. Village, Town, City)",2016-05-25T15:39:29,none,,
Express opinions/preferences only,"New Media (i.e. internet, texting, etc)",Sweden,Voting,,both,Yes,4243,Budgeting,Consultation (i.e. to advise decision makers),452,,Yes,en,Open to all,2015-06-11T18:51:51,Yes,Municipal Participatory Budgeting,,,General Public,General Public,Elected Public Official,200,"Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)",,2016-05-25T15:35:25,consensus,,
or Deliberation,Public Report,Brazil,Voting,,facetoface,Yes,4245,Budgeting,"Develop individual capacities (e.g. skills, learning)",453,,Yes,en,Open to all,2015-06-17T01:53:59,Yes,,,2001-03-01T00:00:00,General Public,General Public,,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",,2015-08-18T18:00:30,preferential,,
or Deliberation,"New Media (i.e. internet, texting, etc)",Poland,Voting,,both,Yes,4237,Community Development,Co-governance (i.e. to share decision making with public authorities),454,,No,en,Open to all,2015-06-01T14:23:14,Yes,Participatory Budgeting,City Councillors,,Elected Public Official,General Public,Elected Public Official,,"Local Government (e.g. Village, Town, City)",Community Based Organization,"Local Government (e.g. Village, Town, City)",2016-01-30T16:45:11,preferential,Prawo İ Sprawiedliwośc (Law and Justice) and Kocham Sopot (I love Sopot) Party Councilors ,4238
Negotiate &amp; Bargain,Public Hearings/Meetings,Brazil,Voting,2013-01-01T00:00:00,facetoface,Yes,4247,Economic Development,Co-governance (i.e. to share decision making with public authorities),455,,No,pt,Open to all,2015-06-22T05:24:10,Yes,Participatory Budgeting,,2001-01-01T00:00:00,General Public,General Public,,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2015-08-18T17:59:52,preferential,,
or Deliberation,Public Hearings/Meetings,United States,Voting,,facetoface,Yes,4240,Budgeting,Collaborative delivery of services with public authorities,456,,Yes,en,Appointment,2015-06-09T14:00:48,Yes,Municipal Participatory Budgeting,City Staff,2012-04-17T12:00:00,General Public,General Public,Appointed Public Servants (e.g. Bureaucrats),4000,,Non-Governmental Organization (Non-profit),,2016-05-25T15:47:08,preferential,The New America Foundation,4377
Informal Social Activities,Public Hearings/Meetings,United States,Not Applicable,,facetoface,Yes,4236,Education &amp; Schools,Raise public awareness,457,7,Yes,en,Open to all with targeted recruitment,2015-05-31T18:21:41,Yes,Civic Engagement and Citizenship Education,Volunteer,,Other,Students,Lay Public,327,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),,2016-05-25T15:47:25,none,,
or Deliberation,"New Media (i.e. internet, texting, etc)",Italy,Voting,,online,Yes,4229,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Other,458,,,en,Open to all with targeted recruitment,2015-05-19T02:10:21,Yes,Political Institutions,Students,,"Organized Groups (e.g. NGOs, Business Associations)",General Public,Elected Public Official,640,,Individual,Individual,2016-02-25T12:48:15,preferential,Mark Klien,
or Deliberation,"New Media (i.e. internet, texting, etc)",United States,Voting,,facetoface,Yes,4230,Budgeting,Co-governance (i.e. to share decision making with public authorities),459,,Yes,en,Election,2015-05-19T17:22:09,Yes,Municipal Participatory Budgeting,,2012-04-17T12:00:00,General Public,General Public,Appointed Public Servants (e.g. Bureaucrats),,"Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),2016-07-11T16:29:42,preferential,,4377
Dialogue,Other,China,Opinion Survey,,facetoface,Yes,4233,Economic Development,Co-governance (i.e. to share decision making with public authorities),460,,No,en,Open to all,2015-05-26T20:20:48,Yes,Participatory Budgeting,,,Other,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Not Applicable,2016-01-31T05:08:20,majority,,
Dialogue,Policy Recommendations,United States,Voting,,facetoface,,4234,"Planning (e.g. Urban planning, Transportation, etc.)",Co-governance (i.e. to share decision making with public authorities),461,,,en,Open to all,2015-05-27T03:10:36,Yes,Sustainable Development,,,Elected Public Official,General Public,Appointed Public Servants (e.g. Bureaucrats),,Community Based Organization,"Local Government (e.g. Village, Town, City)",Academic Institution,2016-05-25T15:49:16,consensus,School of Public Policy,
,,,,,,,4133,Community Development,Community building (e.g. social capital),462,,,en,,2014-07-14T17:00:48,Yes,,,,,,,,,,,2014-07-14T21:06:57,none,,
Dialogue,"New Media (i.e. internet, texting, etc)",,Opinion Survey,,both,Yes,4135,Economic Development,Community building (e.g. social capital),463,,No,en,Random Selection,2014-08-14T11:56:21,Yes,The Economic and Social Future of Europe,,,General Public,General Public,Lay Public,,International Organization,International Organization,,2016-02-13T02:37:46,majority,,1106
Dialogue,"New Media (i.e. internet, texting, etc)",Belgium,Opinion Survey,2009-05-31T23:59:00,facetoface,Yes,4136,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Raise public awareness,464,3,No,en,Random Selection,2014-08-14T12:07:58,Yes,Deliberative Democracy Experiment. Deliberative Democracy Showcase,,2009-04-16T00:00:00,Elected Public Official,General Public,Lay Public,348,Philanthropic Organization (i.e. dedicated to making monetary grants or gifts),Academic Institution,Academic Institution,2016-06-06T21:36:56,none,and the Median Research Centre,
,,Greece,,,online,,4144,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",,465,,,en,,2014-09-26T08:24:42,Yes,,,,,,,,,,,2016-05-25T16:06:19,none,,
or Deliberation,"New Media (i.e. internet, texting, etc)",United States,Not Applicable,,online,No,4199,Other,"Develop individual capacities (e.g. skills, learning)",466,,Yes,en,Open to all,2015-04-08T02:14:21,Yes,Discussion,,,General Public,Youth,Lay Public,,,Individual,,2016-05-25T15:58:33,none,,
Dialogue,Policy Recommendations,Canada,Getting sense of room/group (i.e. no formal voting),2015-06-30T11:59:00,facetoface,Yes,4228,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),467,32,No,en,Other,2015-05-18T20:29:28,Yes,Municipal Participatory Planning,Curriculum and Program,2014-09-20T12:00:00,Appointed Public Servants (e.g. bureaucrats),Other,Lay Public,48,"Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),,2016-05-25T15:52:37,none,,213
Dialogue,"New Media (i.e. internet, texting, etc)",Brazil,Voting,,facetoface,Yes,4252,Budgeting,Co-governance (i.e. to share decision making with public authorities),468,,Yes,pt,Open to all,2015-06-27T13:08:27,Yes,Participatory Budgeting,,2009-01-01T00:10:00,General Public,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),2015-08-18T17:57:34,preferential,,
Dialogue,Public Hearings/Meetings,United Kingdom,Other,2002-08-01T12:00:00,facetoface,Yes,4226,Community Development,Consultation (i.e. to advise decision makers),469,,No,en,Other,2015-05-18T13:41:04,Yes,Community Engagement,,1999-08-01T12:00:00,Other,Youth,Lay Public,112,National Government,National Government,Community Based Organization,2016-01-31T17:04:49,none,Stakeholders,
Dialogue,Public Hearings/Meetings,Deutschland,,,online,No,4160,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Co-governance (i.e. to share decision making with public authorities),470,,Yes,de,Open to all,2014-12-09T07:05:54,Yes,Öffentliche Anliegen,Mitarbeiter des deutschen Bundestages,,General Public,General Public,Lay Public,,National Government,National Government,National Government,2015-04-07T16:08:42,none,,
or Deliberation,"New Media (i.e. internet, texting, etc)",Germany,Opinion Survey,,online,,4161,Higher Education &amp; Lifelong Learning,Consultation (i.e. to advise decision makers),471,,No,en,Open to all,2014-12-11T17:05:19,Yes,Education Policy,,,General Public,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,"Regional Government (e.g. State, Provincial, Territorial)",For Profit Business,,2016-05-25T16:05:14,preferential,,648
Express opinions/preferences only,Public Report,Germany,Voting,2012-02-14T23:59:00,online,No,4162,"Planning (e.g. Urban planning, Transportation, etc.)",Raise public awareness,472,,No,en,Open to all,2014-12-12T12:14:31,Yes,Noise Pollution,,2012-01-09T00:00:00,General Public,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",,2016-02-05T17:04:15,preferential,,
Dialogue,,Germany,,,,,4163,Science &amp; Technology,Other,473,,No,de,,2014-12-12T15:57:59,Yes,,,,,,,,,,,2015-02-22T19:42:17,none,,
Dialogue,Public Hearings/Meetings,,Voting,,,,4192,Children &amp; Youth,Community building (e.g. social capital),474,,Yes,en,Open to all,2015-02-13T21:22:26,Yes,Native American Youth,,,"Organized Groups (e.g. NGOs, Business Associations)",Racial/Ethnic Group(s),"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),"Regional Government (e.g. State, Provincial, Territorial)",2016-05-25T16:01:02,none,,4310
,,,,,,,4193,Community Development,Raise public awareness,475,,Yes,en,,2015-02-20T16:58:39,Yes,Campaign/Protest,,,,Students,Lay Public,,,Non-Governmental Organization (Non-profit),,2016-02-12T17:28:27,none,,
Discussion,Policy Recommendations,Germany,Voting,2012-04-24T23:59:00,both,No,4165,Science &amp; Technology,Consultation (i.e. to advise decision makers),476,,No,en,Open to all,2014-12-12T23:01:32,Yes,Student Government,,2012-01-24T00:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,,Individual,"Regional Government (e.g. State, Provincial, Territorial)",Academic Institution,2016-05-25T16:04:32,preferential,,
,,Deutschland,,,,,4166,"Planning (e.g. Urban planning, Transportation, etc.)",,477,,Yes,de,,2014-12-13T19:10:33,Yes,Kommunalpolitik,,,,General Public,,,"Regional Government (e.g. State, Provincial, Territorial)",,,2015-02-22T20:39:00,none,,
or Deliberation,"New Media (i.e. internet, texting, etc)",Switzerland,Voting,,online,Yes,4167,"Planning (e.g. Urban planning, Transportation, etc.)",Community building (e.g. social capital),478,,No,de,Open to all,2014-12-18T12:37:33,Yes,,,,Other,General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",1223,"Local Government (e.g. Village, Town, City)",,,2015-11-03T22:29:51,preferential,,
Listen/watch as spectator,Public Hearings/Meetings,Deutschland,Voting,,online,No,4168,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Consultation (i.e. to advise decision makers),479,,No,de,Open to all,2014-12-18T21:56:08,Yes,Internet,,,General Public,General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",3305,National Government,National Government,National Government,2015-02-26T11:53:11,consensus,Liquid Democracy,
,,Deutschland,,,,,4169,"Planning (e.g. Urban planning, Transportation, etc.)",,480,,,de,,2014-12-19T05:11:30,Yes,Schwimmbad,,,,,,,,,,2015-02-22T20:10:42,none,,
,,Deutschland,,,both,,4171,"Planning (e.g. Urban planning, Transportation, etc.)",Consultation (i.e. to advise decision makers),481,,No,de,Open to all with targeted recruitment,2014-12-20T20:59:40,Yes,Landschaftsplanung,,,,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,"Local Government (e.g. Village, Town, City)",,,2015-02-22T20:14:35,none,,
,,Germany,,,both,,4172,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Other,482,,No,de,,2014-12-23T18:13:41,Yes,,,,,,,,"Regional Government (e.g. State, Provincial, Territorial)",,,2015-03-30T21:34:12,none,,
Dialogue,Public Hearings/Meetings,United States,Voting,2014-06-01T23:59:00,facetoface,,4176,Budgeting,Collaborative delivery of services with public authorities,483,,Yes,en,Open to all with targeted recruitment,2015-01-04T22:00:17,Yes,Youth Participatory Budgeting,,2014-01-01T00:00:00,Elected Public Official,Youth,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",,2016-07-29T17:54:05,consensus,,
Dialogue,"New Media (i.e. internet, texting, etc)",Greece,,,online,No,4177,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Consultation (i.e. to advise decision makers),484,,Yes,en,Open to all,2015-01-05T02:11:16,Yes,civic engagement,,2014-03-16T00:00:00,General Public,General Public,Elected Public Official,,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),National Government,2016-02-05T04:45:10,none,Greek Parliament,4316
or Deliberation,"New Media (i.e. internet, texting, etc)",Argentina,Voting,2015-12-09T21:00:00,online,No,4178,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Co-governance (i.e. to share decision making with public authorities),485,35,No,en,Open to all,2015-01-05T05:00:27,Yes,lawmaking,,2014-11-04T21:00:00,General Public,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),"Local Government (e.g. Village, Town, City)",2016-02-04T17:21:17,preferential,,4315
or Deliberation,"New Media (i.e. internet, texting, etc)",United States,,,both,,4204,Criminal Justice,"Develop individual capacities (e.g. skills, learning)",486,,Yes,en,Open to all with targeted recruitment,2015-04-24T17:50:30,Yes,At-risk Youth Protection,,,General Public,Youth,Lay Public,,"Local Government (e.g. Village, Town, City)",,Community Based Organization,2016-02-03T04:55:27,none,San Diego County Probation,
Other,"New Media (i.e. internet, texting, etc)",United States,Not Applicable,,online,No,4205,Arts &amp; Culture,Community building (e.g. social capital),487,,Yes,en,Open to all,2015-04-24T18:02:55,Yes,,,,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,,Individual,For Profit Business,,2016-02-03T04:38:16,none,,
Listen/watch as spectator,Public Report,Canada,,,facetoface,Yes,4201,Environment,Consultation (i.e. to advise decision makers),488,75,Yes,en,Open to all,2015-04-10T14:07:05,Yes,Environment,,,"Organized Groups (e.g. NGOs, Business Associations)",General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",150,For Profit Business,For Profit Business,,2016-05-25T15:58:05,none,,4306
Dialogue,Public Hearings/Meetings,Tunisia,,,facetoface,,4190,Higher Education &amp; Lifelong Learning,"Develop individual capacities (e.g. skills, learning)",489,,,en,Open to all,2015-02-10T22:34:39,Yes,constitutional reform,,,Elected Public Official,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,International Organization,International Organization,National Government,2016-02-04T16:44:58,none,Tunisian Ministry of Higher Education,4312
Express opinions/preferences only,Public Hearings/Meetings,United States,,,facetoface,No,4207,Budgeting,Consultation (i.e. to advise decision makers),490,,Yes,en,Open to all,2015-04-29T20:11:04,Yes,Community Development,,,Elected Public Official,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)",Community Based Organization,,2016-05-25T15:56:19,none,,
Dialogue,Public Hearings/Meetings,Brazil,Voting,,facetoface,Yes,4253,Community Development,Raise public awareness,491,,Yes,en,Open to all,2015-06-27T13:33:12,Yes,Participatory Budgeting,,2009-01-01T00:34:00,General Public,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Faith-Based Organization,2015-08-18T17:56:36,preferential,,
Discussion,Public Report,Brazil,Voting,,facetoface,Yes,4251,Community Development,Make public decisions (i.e. exert direct authority),492,,Yes,en,Open to all,2015-06-25T21:18:08,Yes,Participatory Budgeting,,2009-01-01T00:00:00,,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Community Based Organization,2015-06-27T13:49:33,preferential,,
Discussion,"Traditional Media (i.e. television, radio, newspapers)",Brazil,Voting,,facetoface,Yes,4249,Economic Development,Community building (e.g. social capital),493,,Yes,en,Open to all,2015-06-24T22:14:19,Yes,Participatory Budgeting,,2009-01-01T00:00:00,General Public,General Public,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Faith-Based Organization,2015-08-18T17:58:32,preferential,,
Dialogue,,Brazil,Voting,2012-01-01T00:00:00,both,Yes,4248,Poverty Reduction,Make public decisions (i.e. exert direct authority),494,,No,en,Open to all,2015-06-23T05:45:29,Yes,,,2009-01-01T00:00:00,General Public,General Public,Lay Public,2300,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2015-08-18T17:59:20,preferential,,
or Deliberation,Public Report,Romania,Voting,2013-01-19T23:59:00,facetoface,Yes,4220,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Raise public awareness,495,,No,en,Open to all,2015-05-14T18:39:05,Yes,Labour Code,,2012-12-17T00:00:00,Elected Public Official,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",10000,Union,Individual,,2016-02-12T17:07:16,consensus,,
No interaction among participants,Public Report,Bulgaria,Not Applicable,2014-05-01T23:59:00,facetoface,Yes,4221,"Political Institutions (e.g. Constitutions, Legal Systems, Electoral Systems)",Consultation (i.e. to advise decision makers),496,30,No,en,Open to all,2015-05-15T06:02:35,Yes,Monitoring of the 2014 European Election,,2014-03-01T00:00:00,Media,General Public,Lay Public,2772,Non-Governmental Organization (Non-profit),Non-Governmental Organization (Non-profit),Other,2016-02-02T16:23:28,none,The Association of Young Jurists and Preservation of the Democratic Values,
or Deliberation,"Traditional Media (i.e. television, radio, newspapers)",United States,Opinion Survey,2007-11-04T12:00:00,facetoface,Yes,4222,Science &amp; Technology,Raise public awareness,497,2,No,en,Random Selection,2015-05-15T18:29:44,Yes,Energy and Sustainability,,2007-11-03T00:00:00,General Public,General Public,Lay Public,146,"Local Government (e.g. Village, Town, City)",Academic Institution,Academic Institution,2016-05-25T15:54:12,none,Personnel from Public Decision Partnership (PDP) in Austin,318
or Deliberation,Policy Recommendations,,Voting,,both,Yes,4223,Budgeting,Co-governance (i.e. to share decision making with public authorities),498,,No,en,Open to all,2015-05-16T11:48:54,Yes,,-,,,General Public,Lay Public,20000,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",2015-05-16T11:48:54,none,,
or Deliberation,Policy Recommendations,Spain,Voting,,both,Yes,4224,"Planning (e.g. Urban planning, Transportation, etc.)",Co-governance (i.e. to share decision making with public authorities),499,,No,en,Open to all,2015-05-16T12:47:15,Yes,Municipal Participatory Budgeting,,,General Public,General Public,Lay Public,20000,"Regional Government (e.g. State, Provincial, Territorial)","Regional Government (e.g. State, Provincial, Territorial)",National Government,2016-05-25T15:53:53,none,,
or Deliberation,"New Media (i.e. internet, texting, etc)",Iceland,Voting,,online,No,4225,Budgeting,Co-governance (i.e. to share decision making with public authorities),500,,Yes,en,Open to all,2015-05-17T03:26:12,Yes,Electronic Participatory Budgeting,,,General Public,General Public,Lay Public,12000,Non-Governmental Organization (Non-profit),Individual,Non-Governmental Organization (Non-profit),2016-08-02T18:19:39,preferential,,
Discussion,Public Report,Australia,,1999-03-07T12:00:00,facetoface,Yes,4260,Science &amp; Technology,Raise public awareness,501,4,No,en,Random Selection,2015-07-03T13:09:12,Yes,Health,,1999-03-03T12:00:00,General Public,General Public,Lay Public,14,International Organization,National Government,National Government,2016-02-06T00:01:06,none,Museum of Australia,
or Deliberation,Public Report,Nepal,Getting sense of room/group (i.e. no formal voting),,facetoface,Yes,4279,Budgeting,Community building (e.g. social capital),502,,Yes,en,Open to all,2015-10-08T04:40:50,Yes,Municipal Policy and Budget,,,Appointed Public Servants (e.g. bureaucrats),General Public,Lay Public,,International Organization,"Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),2016-08-01T03:50:22,none,,
Discussion,"New Media (i.e. internet, texting, etc)",India,Other,,both,Yes,4280,Budgeting,Consultation (i.e. to advise decision makers),503,,Yes,en,Open to all,2015-10-19T22:30:36,Yes,Participatory Budgeting,,2007-02-13T09:00:00,Elected Public Official,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Academic Institution,2016-02-12T04:37:59,none,Nagrik chetna Manch,
Dialogue,"New Media (i.e. internet, texting, etc)",Deutschland,Voting,2011-09-18T15:00:00,online,No,4284,Economic Development,Consultation (i.e. to advise decision makers),504,,No,de,Open to all,2015-11-22T13:05:35,Yes,Digitalisierung,,2011-08-03T15:00:00,Elected Public Official,General Public,Lay Public,408,Other,Other,National Government,2016-04-27T22:12:04,none,,
Express opinions/preferences only,"Traditional Media (i.e. television, radio, newspapers)",Germany,Voting,2009-12-19T15:00:00,online,No,4285,Budgeting,Consultation (i.e. to advise decision makers),505,,No,de,Open to all,2015-11-23T15:23:43,Yes,Electronic Participatory Budgeting,,2009-11-16T15:00:00,General Public,General Public,Elected Public Official,9887,"Local Government (e.g. Village, Town, City)",Non-Governmental Organization (Non-profit),Other,2016-02-12T02:41:00,none,Fraunhofer-Institut für Intelligente Analyse- und Informationssysteme (IAIS),648
Formal Testimony,Policy Recommendations,Brazil,Voting,1986-03-21T17:00:00,facetoface,Yes,4287,Health,Co-governance (i.e. to share decision making with public authorities),506,,Yes,en,Open to all,2015-12-10T13:13:23,Yes,,,1986-03-17T09:00:00,Appointed Public Servants (e.g. bureaucrats),General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",,"Local Government (e.g. Village, Town, City)",National Government,,2016-03-25T15:18:00,majority,,1018
Express opinions/preferences only,Policy Recommendations,Brazil,Voting,1986-03-21T17:00:00,facetoface,Yes,4288,Health,Co-governance (i.e. to share decision making with public authorities),507,,Yes,pt,Open to all,2015-12-10T13:42:10,Yes,,,1986-03-17T09:00:00,Elected Public Official,General Public,"Stakeholder Organizations (e.g. NGOs, Neighbourhood Associations, Industry Representatives)",,"Regional Government (e.g. State, Provincial, Territorial)",National Government,,2016-03-25T15:18:03,majority,,1018
or Deliberation,Public Hearings/Meetings,Uganda,Opinion Survey,2014-07-10T17:00:00,facetoface,Yes,4289,Community Development,Consultation (i.e. to advise decision makers),508,4,No,en,Random Selection,2015-12-10T19:11:33,Yes,Resettlement Management,,2014-07-07T09:00:00,Elected Public Official,General Public,"Experts (e.g. Scientists, Engineers, Criminologists, Doctors, Lawyers)",,International Organization,Academic Institution,,2016-05-11T19:57:37,preferential,,437
Dialogue,Public Report,Turkey,,,facetoface,,4292,Children &amp; Youth,Co-governance (i.e. to share decision making with public authorities),509,,No,en,Open to all,2016-01-14T15:10:39,Yes,Urban Strategic Planning,,,Appointed Public Servants (e.g. bureaucrats),General Public,Elected Public Official,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Academic Institution,2016-02-15T18:32:55,none,,
Dialogue,Policy Recommendations,Turkey,Opinion Survey,2015-04-12T17:00:00,both,Yes,4295,"Planning (e.g. Urban planning, Transportation, etc.)",Raise public awareness,510,3,No,en,Open to all,2016-01-21T09:49:33,Yes,Cycling Paths,,2015-03-07T09:00:00,Appointed Public Servants (e.g. bureaucrats),Other,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",,2016-02-15T23:28:48,consensus,,
Dialogue,Public Hearings/Meetings,Austria,Getting sense of room/group (i.e. no formal voting),2013-04-26T19:30:00,facetoface,Yes,4297,Identity &amp; Diversity,Consultation (i.e. to advise decision makers),511,22,No,en,Other,2016-01-29T14:38:35,Yes,Legacy of the Nazi regime in Austria,,2012-11-20T09:00:00,General Public,General Public,Lay Public,150,National Government,Academic Institution,Non-Governmental Organization (Non-profit),2016-02-23T12:26:57,none,Austrian Society for Environment and Technology,
,,,,,,,4301,Community Development,,512,,,en,,2016-02-01T22:50:38,Yes,,,,,,,,,,,2016-02-01T22:50:38,none,,
,,,,,,,4302,Education &amp; Schools,,513,,,en,,2016-02-01T23:17:23,Yes,,,,,,,,,,,2016-02-01T23:17:23,none,,
Express opinions/preferences only,Policy Recommendations,Turkey,Getting sense of room/group (i.e. no formal voting),2015-11-21T17:00:00,facetoface,Yes,4303,Identity &amp; Diversity,Raise public awareness,514,1,Yes,en,Open to all,2016-02-02T14:49:14,Yes,Gender Equality,,2015-11-21T09:00:00,General Public,Women,Lay Public,,"Local Government (e.g. Village, Town, City)","Local Government (e.g. Village, Town, City)",Community Based Organization,2016-02-15T23:27:02,none,,
Story-Telling,"Traditional Media (i.e. television, radio, newspapers)",Pakistan,,,,No,4517,Criminal Justice,Raise public awareness,515,,Yes,en,Open to all,2016-07-28T21:39:38,Yes,,,,General Public,General Public,Lay Public,,Community Based Organization,Community Based Organization,Non-Governmental Organization (Non-profit),2016-08-23T17:44:35,none,,
,,,,,,,4332,,,516,,,en,,2016-03-27T20:07:04,Yes,,,,,,,,,,,2016-03-31T19:27:37,none,,
